city	state	zip	latitude	longitude	avgMurderCount	avgNegligentManSlaughter	avgForcibleSexOffense	avgNonForcibleSexOffense	avgRobbery	avgAggravatedAssault	avgBurglary	avgVehicleTheft	avgArson	avgWeaponOffense	avgDrugViolations	avgLiquorViolations
Santa Teresa	NM	88008	31.879712	-106.71763	0	0	0	0	0	0	0	16.67	0	0	0	0
Saranac Lake	NY	12983	44.324736	-74.16843	0	0	0	0	0	0	0	0	0	0	0	0
Sarasota	FL	34231	27.267649	-82.51663	0	0	0	0	16.67	33.33	100	33.33	0	0	0	0
Sarasota	FL	34233	27.285142	-82.47363	0	0	0	0	0	16.67	0	0	0	0	116.67	0
Sarasota	FL	34234	27.365622	-82.53556	0	0	33.33	0	16.67	16.67	141.67	50	0	0	16.67	0
Sarasota	FL	34235	27.365549	-82.48659	0	0	0	0	0	0	0	0	0	0	0	0
Sarasota	FL	34237	27.336973	-82.51506	0	0	0	0	0	0	0	0	0	0	0	0
Sarasota	FL	34240	27.33458	-82.40894	0	0	0	0	0	4.17	8.33	0	0	0	0	0
Sarasota	FL	34242	27.275225	-82.54934	0	0	0	0	16.67	0	16.67	0	0	0	0	0
Sarasota	FL	34243	27.407657	-82.52923	0	0	50	0	8.33	0	258.33	41.67	91.67	0	83.33	16.67
Saratoga	CA	95070	37.270543	-122.02305	0	0	16.67	0	50	133.33	383.33	183.33	0	83.33	350	116.67
Saratoga Springs	NY	12866	43.080399	-73.77038	0	0	177.78	11.11	11.11	166.67	355.56	0	88.89	0	94.44	16.67
Sardinia	OH	45171	38.985368	-83.78542	0	0	0	0	0	0	0	0	0	0	0	0
Sault Ste Marie	MI	49783	46.460895	-84.32485	0	0	83.33	0	0	150	183.33	16.67	0	0	333.33	316.67
Savannah	GA	31402	31.971394	-81.07156	0	0	33.33	0	66.67	16.67	66.67	116.67	0	0	533.33	0
Savannah	GA	31404	32.046143	-81.06724	11.11	0	77.78	0	300	166.67	2744.44	166.67	0	300	755.56	77.78
Savannah	GA	31405	32.043058	-81.12183	0	0	16.67	0	16.67	0	41.67	41.67	16.67	16.67	75	0
Savannah	GA	31406	31.988676	-81.09116	0	0	0	0	0	0	0	0	0	0	0	0
Savannah	GA	31407	32.162963	-81.17233	0	0	0	0	0	0	0	11.11	0	0	0	0
Savannah	GA	31419	31.986249	-81.20259	0	0	0	0	22.22	33.33	477.78	22.22	22.22	11.11	333.33	222.22
